id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,152,2,344,2021-12-04,2.46,2,323,14,
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,242,3,85,2021-12-03,0.71,2,283,16,
31847,Downtown/Airport room,2319,Gail,,Le Sud-Ouest,45.48467,-73.57995,Private room,50,1,157,2021-09-06,1.12,3,350,4,
34715,Chez Patrac ! Métro Beaubien,149769,Alain,,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire home/apt,160,4,6,2021-11-29,0.04,1,208,2,261 026
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,130,31,42,2021-08-31,0.53,7,176,3,
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,10,14,2019-09-15,0.11,3,323,0,
46626,Beautiful! Charming! Spacious! Rooms!,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47012,-73.60725,Private room,63,3,24,2021-10-18,0.19,2,365,4,305995
50479,L'Arcade Douce (CITQ #271530),231694,Noémie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,85,3,157,2021-11-28,1.15,1,33,29,271530
66247,Large Loft in Historic Old Montreal,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,110,5,287,2021-11-22,2.15,6,32,23,
67514,Double Bed in Room with Skylight,333083,Dan,,Montréal-Ouest,45.45372,-73.6506,Private room,150,3,0,,,1,0,0,
70801,"Large, sunny house near Old MTL",294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,299,3,25,2021-10-12,0.19,1,219,2,
73171,Romantic garden studio in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52891,-73.58219,Entire home/apt,110,31,83,2021-08-15,0.64,7,225,5,
75092,Family home with great backyard !,389705,Dan & Chris,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46607,-73.62549,Entire home/apt,185,9,9,2017-08-17,0.10,1,0,0,
85267,Country feeling loft in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,120,31,27,2021-11-26,0.21,7,337,4,
98825,Nice apartment in Little-Italy,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53933,-73.61902,Entire home/apt,99,90,61,2018-08-31,0.48,5,101,0,
99859,Plateau Charm,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,182,3,29,2018-08-06,0.23,1,305,0,
103128,House in Plateau neighbourhood,538123,Peter,,Le Plateau-Mont-Royal,45.51933,-73.57472,Entire home/apt,180,5,18,2015-07-17,0.14,1,123,0,
104554,Large apartment in the heart of Mile end,543969,Victoria,,Le Plateau-Mont-Royal,45.52403,-73.60176,Entire home/apt,101,3,77,2021-09-19,0.60,1,35,5,307546
107860,Room with Single Bed,528512,Jen,,Le Plateau-Mont-Royal,45.52508,-73.58719,Private room,18,90,143,2020-01-07,1.11,1,191,0,
135275,"Charming aparthotel, little Italie",520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,99,32,72,2019-12-28,0.57,5,101,0,
142722,Charming studio in Plateau heart,381468,Sylvie,,Le Plateau-Mont-Royal,45.52851,-73.58224,Entire home/apt,100,31,119,2021-05-31,0.94,7,102,2,
160639,Cosy Studio apartment,38398,Omar,,Rosemont-La Petite-Patrie,45.54512,-73.59808,Entire home/apt,90,186,16,2019-11-30,0.13,1,358,0,
161827,Hogan 60 -Entire Furnished apartment,753212,Georges,,Le Plateau-Mont-Royal,45.53882,-73.56102,Entire home/apt,71,31,12,2019-09-26,0.10,9,313,0,
164087,Functional studio (Secret Studio) - Mont Royal,292507076,Luckey,,Le Plateau-Mont-Royal,45.52954,-73.57813,Entire home/apt,77,1,568,2021-11-22,4.51,34,12,51,
165108,The Cocooning in the heart of Rosemont,787391,Karine,,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire home/apt,90,31,31,2021-07-26,0.25,3,161,2,
168331,Family apt (La Famille) - Plateau Mont Royal,292507076,Luckey,,Le Plateau-Mont-Royal,45.52936,-73.5787,Entire home/apt,151,3,516,2020-03-06,4.15,34,0,0,
171627,MINI LOUNGE LOFT,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49406,-73.62555,Private room,55,365,1,2011-08-11,0.01,3,364,0,
172492,"Plateau Mont-Royal  9 beds/12persons, AC",823036,Diane,,Le Plateau-Mont-Royal,45.51551,-73.57166,Entire home/apt,341,3,242,2020-03-15,1.98,5,15,0,
180947,"Loft at Unity 1, Downtown - 423",387422,Simplissimmo,,Ville-Marie,45.50312,-73.56346,Entire home/apt,115,1,4,2018-10-22,0.04,36,361,0,
182142,6 1/2- COSY - GARDEN & ELECTRIC CAR,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49172,-73.6247,Entire home/apt,245,31,0,,,3,278,0,
183306,06- Furnished apartment all inclusive,753212,Georges,,Le Plateau-Mont-Royal,45.53813,-73.56195,Entire home/apt,52,31,20,2021-09-11,0.16,9,35,10,
190003,Large sunny room HEARTH of plateau,640693,Marco,,Le Plateau-Mont-Royal,45.51937,-73.56999,Private room,13294,99,1,2011-08-13,0.01,1,365,0,
191567,Cozy and beautiful room in Montreal,926590,Isaumir,,Le Sud-Ouest,45.48062,-73.58676,Private room,45,1,23,2020-03-24,0.18,2,285,0,
